sample,label,F0,F1,F2,F3,F4,F5,F6,F7
F0V1LPS3,P,V1,V0,V0,V0,0.0,0.0,0.0688,6.0
F0V1LPS4,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS5,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS6,P,V1,V0,V0,V0,4.9253,-0.0526,0.0,0.0
F0V1LPS7,P,V1,V0,V0,V0,0.0,0.0,9.0,0.0
F0V1LPS8,P,V1,V0,V5,V0,0.0,0.0,0.0,0.0
F0V1LPS9,P,V1,V0,V5,V0,-0.0638,0.0,0.0,0.0
F0V1LPS10,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS11,P,V1,V0,V0,V0,0.0,0.0,0.0,0.0
F0V1LPS12,P,V1,V0,V7,V0,0.0,0.0697,0.0,0.0
F0V1LPS13,P,V1,V0,V0,V0,0.0,0.0,-0.001,0.0
F0V1LPS14,P,V1,V0,V8,V0,7.0,0.0,0.0,0.0
F0V1F1V1LQS3,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS4,Q,V1,V1,V0,V0,5.0,0.0,0.0,0.0
F0V1F1V1LQS5,Q,V1,V1,V0,V0,0.0,-0.0185,0.0,0.0
F0V1F1V1LQS6,Q,V1,V1,V0,V0,0.0,0.0,0.014,0.0
F0V1F1V1LQS7,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS8,Q,V1,V1,V0,V0,0.044,0.0,-0.0196,0.0
F0V1F1V1LQS9,Q,V1,V1,V6,V0,7.0,0.0,0.0,0.0
F0V1F1V1LQS10,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS11,Q,V1,V1,V0,V4,0.0,0.0,0.0,7.0
F0V1F1V1LQS12,Q,V1,V1,V0,V0,-0.0472,0.0,0.0,8.0
F0V1F1V1LQS13,Q,V1,V1,V0,V0,0.0,0.0458,8.0,0.0317
F0V1F1V1LQS14,Q,V1,V1,V4,V0,-0.0062,0.0,0.0,0.0
F0V1F1V1F2V1LRS3,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS4,R,V1,V1,V1,V0,0.0397,0.0,0.0,5.0
F0V1F1V1F2V1LRS5,R,V1,V1,V1,V0,6.0548,0.0,-0.0647,-0.0338
F0V1F1V1F2V1LRS6,R,V1,V1,V1,V0,0.0,0.0,-0.0729,0.0
F0V1F1V1F2V1LRS7,R,V1,V1,V1,V8,-0.0131,0.0,0.0,5.0
F0V1F1V1F2V1LRS8,R,V1,V1,V1,V7,0.0743,0.0,0.0,0.0
F0V1F1V1F2V1LRS9,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS10,R,V1,V1,V1,V0,0.0,9.0,0.0,0.0
F0V1F1V1F2V1LRS11,R,V1,V1,V1,V6,0.0,0.0,-0.0654,5.0
F0V1F1V1F2V1LRS12,R,V1,V1,V1,V0,0.0,8.0,7.0,7.0
F0V1F1V1F2V1LRS13,R,V1,V1,V1,V0,6.0,-0.0193,0.0,0.0
F0V1F1V1F2V1LRS14,R,V1,V1,V1,V0,0.0,0.0,4.0,8.0
F0V1F1V1F2V2LSS3,S,V1,V1,V2,V0,-0.0404,0.0,0.0,6.0
F0V1F1V1F2V2LSS4,S,V1,V1,V2,V0,0.0,0.0,-0.0479,0.0
F0V1F1V1F2V2LSS5,S,V1,V1,V2,V0,7.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS6,S,V1,V1,V2,V0,4.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS7,S,V1,V1,V2,V0,4.0,0.0,0.0548,0.0
F0V1F1V1F2V2LSS8,S,V1,V1,V2,V0,0.0,0.0573,0.0,0.0
F0V1F1V1F2V2LSS9,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS10,S,V1,V1,V2,V0,0.0,9.0,0.0,0.0
F0V1F1V1F2V2LSS11,S,V1,V1,V2,V0,0.0,0.0,0.0,-0.0718
F0V1F1V1F2V2LSS12,S,V1,V1,V2,V4,0.0369,0.0426,-0.0347,0.0
F0V1F1V1F2V2LSS13,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS14,S,V1,V1,V2,V0,0.0,0.0,6.0,0.0
F0V1F1V1F2V3LTS3,T,V1,V1,V3,V7,0.0,8.0,0.0,0.0
F0V1F1V1F2V3LTS4,T,V1,V1,V3,V0,6.0,0.027,0.0,0.0
F0V1F1V1F2V3LTS5,T,V1,V1,V3,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V3LTS6,T,V1,V1,V3,V5,0.0,0.0,0.0,0.0
F0V1F1V1F2V3LTS7,T,V1,V1,V3,V0,0.0,6.0,0.0,0.0
F0V1F1V1F2V3LTS8,T,V1,V1,V3,V0,0.0,-0.0383,0.0,0.0117
F0V1F1V1F2V3LTS9,T,V1,V1,V3,V0,0.0,0.0,0.0685,5.0541
F0V1F1V1F2V3LTS10,T,V1,V1,V3,V4,0.0,0.0,0.0,0.0
F0V1F1V1F2V3LTS11,T,V1,V1,V3,V0,0.0,0.015,0.0,-0.0025
F0V1F1V1F2V3LTS12,T,V1,V1,V3,V0,0.0,0.0,0.0,-0.0017
F0V1F1V1F2V3LTS13,T,V1,V1,V3,V0,0.0327,0.0,8.0,0.0
F0V1F1V1F2V3LTS14,T,V1,V1,V3,V9,0.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS3,V,V1,V1,V0,V1,0.0,0.0,0.0,-0.0441
F0V1F1V1F3V1LVS4,V,V1,V1,V0,V1,0.0289,4.0,8.0,0.0
F0V1F1V1F3V1LVS5,V,V1,V1,V0,V1,9.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS6,V,V1,V1,V0,V1,0.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS7,V,V1,V1,V0,V1,0.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS8,V,V1,V1,V0,V1,0.0,0.0,-0.0552,0.0
F0V1F1V1F3V1LVS9,V,V1,V1,V0,V1,7.0237,0.0,0.0,0.0
F0V1F1V1F3V1LVS10,V,V1,V1,V0,V1,0.0,-0.0019,0.0,0.0
F0V1F1V1F3V1LVS11,V,V1,V1,V0,V1,0.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS12,V,V1,V1,V0,V1,9.0,0.0,9.0,0.0
F0V1F1V1F3V1LVS13,V,V1,V1,V0,V1,7.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS14,V,V1,V1,V0,V1,9.0,-0.0029,0.0,0.0
F0V1F1V1F3V2LPS3,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS4,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS5,P,V1,V1,V0,V2,4.0,5.0,0.0,0.0
F0V1F1V1F3V2LPS6,P,V1,V1,V8,V2,0.0,0.0,0.0582,0.0
F0V1F1V1F3V2LPS7,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS8,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS9,P,V1,V1,V0,V2,0.0704,-0.053,0.0,0.0
F0V1F1V1F3V2LPS10,P,V1,V1,V0,V2,0.0,0.0,-0.0494,7.0
F0V1F1V1F3V2LPS11,P,V1,V1,V0,V2,9.0438,0.0,0.0,0.0
F0V1F1V1F3V2LPS12,P,V1,V1,V0,V2,0.0,8.9778,0.0334,0.0
F0V1F1V1F3V2LPS13,P,V1,V1,V0,V2,0.0,0.0,0.0,5.9639
F0V1F1V1F3V2LPS14,P,V1,V1,V0,V2,0.0,0.0,0.0,7.9274
F0V1F1V1F3V3LQS3,Q,V1,V1,V7,V3,0.0,0.0,0.0,0.0066
F0V1F1V1F3V3LQS4,Q,V1,V1,V0,V3,4.0,0.0,0.0,0.0
F0V1F1V1F3V3LQS5,Q,V1,V1,V0,V3,0.0,0.0317,0.0,0.0
F0V1F1V1F3V3LQS6,Q,V1,V1,V0,V3,0.0,0.0,0.0561,0.0
F0V1F1V1F3V3LQS7,Q,V1,V1,V5,V3,6.0,-0.0677,0.0,0.0
F0V1F1V1F3V3LQS8,Q,V1,V1,V0,V3,4.0,9.0,7.0,0.0
F0V1F1V1F3V3LQS9,Q,V1,V1,V0,V3,0.0,0.0,0.0,0.0
F0V1F1V1F3V3LQS10,Q,V1,V1,V0,V3,-0.0265,0.0,0.0,0.0
F0V1F1V1F3V3LQS11,Q,V1,V1,V0,V3,0.0,0.0,0.0,0.0
F0V1F1V1F3V3LQS12,Q,V1,V1,V0,V3,0.0,0.0,0.0,0.0
F0V1F1V1F3V3LQS13,Q,V1,V1,V0,V3,-0.0609,8.0,0.0,0.0
F0V1F1V1F3V3LQS14,Q,V1,V1,V9,V3,5.0,0.0,0.0,0.0
