sample,label,F0,F1,F2,F3,F4,F5,F6,F7
F0V1LPS3,P,V1,V0,V6,V0,-0.1018,0.0,9.0,0.0
F0V1LPS4,P,V1,V0,V0,V0,0.0,0.0,8.0,0.0
F0V1LPS5,P,V1,V0,V5,V0,0.0181,0.0,-0.0572,7.0
F0V1LPS6,P,V1,V0,V0,V4,0.0,0.0,0.0074,5.0
F0V1LPS7,P,V1,V6,V0,V9,0.0,8.0,-0.0935,-0.0154
F0V1LPS8,P,V1,V0,V7,V0,7.0,0.0,0.0,0.0
F0V1LPS9,P,V1,V0,V0,V4,0.0,4.8967,0.0,6.9258
F0V1LPS10,P,V1,V9,V4,V0,0.0364,9.0,0.0,0.0
F0V1LPS11,P,V1,V0,V0,V0,0.0,0.0,0.0,4.0
F0V1LPS12,P,V1,V8,V4,V0,0.0,0.0,0.0,0.0
F0V1LPS13,P,V1,V0,V9,V9,0.0,0.0536,0.0474,5.0
F0V1LPS14,P,V1,V0,V0,V9,5.0,0.0,0.0,0.0
F0V1F1V1LQS3,Q,V1,V1,V6,V9,0.0,0.035,0.0,0.0
F0V1F1V1LQS4,Q,V1,V1,V0,V0,0.0,0.0,0.0,0.0
F0V1F1V1LQS5,Q,V1,V1,V0,V0,0.0,0.0,8.0,7.0
F0V1F1V1LQS6,Q,V1,V1,V0,V0,0.0,4.0,0.0,-0.0507
F0V1F1V1LQS7,Q,V1,V1,V5,V8,0.0,0.0,0.0,0.1134
F0V1F1V1LQS8,Q,V1,V1,V0,V9,0.0,0.0,0.0,3.979
F0V1F1V1LQS9,Q,V1,V1,V0,V7,0.0,0.0,0.0,0.0
F0V1F1V1LQS10,Q,V1,V1,V5,V0,0.0,9.0,0.0,-0.0233
F0V1F1V1LQS11,Q,V1,V1,V0,V0,7.9491,0.0,-0.007,4.0
F0V1F1V1LQS12,Q,V1,V1,V4,V0,9.0,0.0,0.0,0.0
F0V1F1V1LQS13,Q,V1,V1,V0,V0,0.0242,0.0,8.0,0.0
F0V1F1V1LQS14,Q,V1,V1,V0,V0,0.0,0.0,-0.0121,0.0
F0V1F1V1F2V1LRS3,R,V1,V1,V1,V0,6.0,0.0,0.0821,-0.0554
F0V1F1V1F2V1LRS4,R,V1,V1,V1,V0,0.0541,9.0,0.0,8.0
F0V1F1V1F2V1LRS5,R,V1,V1,V1,V0,8.0,0.0,0.0219,0.0
F0V1F1V1F2V1LRS6,R,V1,V1,V1,V0,0.0,0.0,0.0,7.0
F0V1F1V1F2V1LRS7,R,V1,V1,V1,V0,0.1077,4.0,-0.0946,0.0
F0V1F1V1F2V1LRS8,R,V1,V1,V1,V0,4.0,0.0,5.0613,0.0
F0V1F1V1F2V1LRS9,R,V1,V1,V1,V0,-0.0375,0.0,0.0,0.0542
F0V1F1V1F2V1LRS10,R,V1,V1,V1,V0,0.0,0.0815,-0.023,7.9891
F0V1F1V1F2V1LRS11,R,V1,V1,V1,V0,8.9846,0.0307,-0.0743,0.0
F0V1F1V1F2V1LRS12,R,V1,V1,V1,V6,-0.0948,-0.0364,0.0,0.0
F0V1F1V1F2V1LRS13,R,V1,V1,V1,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V1LRS14,R,V1,V1,V1,V0,-0.009,-0.0818,0.0,0.0
F0V1F1V1F2V2LSS3,S,V1,V1,V2,V0,4.0999,0.0,9.0,7.1198
F0V1F1V1F2V2LSS4,S,V1,V1,V2,V0,0.0,0.0,0.0,6.0
F0V1F1V1F2V2LSS5,S,V1,V1,V2,V0,0.0,0.0,0.0,6.0
F0V1F1V1F2V2LSS6,S,V1,V1,V2,V0,-0.0895,8.0123,0.0,0.0
F0V1F1V1F2V2LSS7,S,V1,V1,V2,V0,0.0945,9.0,0.0653,7.931
F0V1F1V1F2V2LSS8,S,V1,V1,V2,V8,0.0,-0.0828,0.0,0.0
F0V1F1V1F2V2LSS9,S,V1,V1,V2,V5,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS10,S,V1,V1,V2,V0,0.0,6.0,0.0,0.0
F0V1F1V1F2V2LSS11,S,V1,V1,V2,V9,0.0,7.0,0.0,0.0
F0V1F1V1F2V2LSS12,S,V1,V1,V2,V0,8.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS13,S,V1,V1,V2,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V2LSS14,S,V1,V1,V2,V0,8.0,6.0,0.0,3.9639
F0V1F1V1F2V3LTS3,T,V1,V1,V3,V0,0.0,9.0,0.0,4.0
F0V1F1V1F2V3LTS4,T,V1,V1,V3,V0,6.0,9.0,6.0,0.0
F0V1F1V1F2V3LTS5,T,V1,V1,V3,V8,0.0,0.0,-0.0347,0.0
F0V1F1V1F2V3LTS6,T,V1,V1,V3,V0,-0.1125,0.0,0.0,0.0
F0V1F1V1F2V3LTS7,T,V1,V1,V3,V7,0.0,-0.1014,-0.076,0.0
F0V1F1V1F2V3LTS8,T,V1,V1,V3,V0,0.0,0.0527,0.0,7.0
F0V1F1V1F2V3LTS9,T,V1,V1,V3,V9,0.0,0.0,9.0,0.041
F0V1F1V1F2V3LTS10,T,V1,V1,V3,V0,0.0,0.0,0.0,0.0
F0V1F1V1F2V3LTS11,T,V1,V1,V3,V0,0.0,6.0365,0.0663,0.0
F0V1F1V1F2V3LTS12,T,V1,V1,V3,V0,0.0698,7.0,4.0,0.0665
F0V1F1V1F2V3LTS13,T,V1,V1,V3,V9,0.0,0.0,0.0,4.0
F0V1F1V1F2V3LTS14,T,V1,V1,V3,V0,0.0,9.0,0.0,0.0548
F0V1F1V1F3V1LVS3,V,V1,V1,V4,V1,0.0819,0.0,0.0,-0.0759
F0V1F1V1F3V1LVS4,V,V1,V1,V0,V1,6.0,8.0,0.0,7.0
F0V1F1V1F3V1LVS5,V,V1,V1,V0,V1,8.0,6.0,0.0,0.0
F0V1F1V1F3V1LVS6,V,V1,V1,V0,V1,5.0,-0.034,4.0,0.0
F0V1F1V1F3V1LVS7,V,V1,V1,V0,V1,5.0,0.0,0.0,8.0
F0V1F1V1F3V1LVS8,V,V1,V1,V0,V1,-0.1213,0.0,0.0,0.0
F0V1F1V1F3V1LVS9,V,V1,V1,V0,V1,0.0,0.0,0.0,0.0
F0V1F1V1F3V1LVS10,V,V1,V1,V9,V1,0.0,6.0,0.0,-0.0136
F0V1F1V1F3V1LVS11,V,V1,V1,V0,V1,0.0,0.0,0.1118,0.0
F0V1F1V1F3V1LVS12,V,V1,V1,V9,V1,0.076,0.0,0.0,0.0
F0V1F1V1F3V1LVS13,V,V1,V1,V0,V1,-0.1125,0.0,5.0,0.0
F0V1F1V1F3V1LVS14,V,V1,V1,V0,V1,0.0,0.0,7.0,5.0
F0V1F1V1F3V2LPS3,P,V1,V1,V0,V2,0.0,0.0,7.9322,0.0
F0V1F1V1F3V2LPS4,P,V1,V1,V0,V2,8.0487,6.0,6.0,8.0
F0V1F1V1F3V2LPS5,P,V1,V1,V0,V2,4.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS6,P,V1,V1,V0,V2,0.0,0.0,9.0,7.0
F0V1F1V1F3V2LPS7,P,V1,V1,V0,V2,-0.113,-0.0983,0.0,0.0
F0V1F1V1F3V2LPS8,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS9,P,V1,V1,V0,V2,0.0,0.0196,-0.0754,0.0
F0V1F1V1F3V2LPS10,P,V1,V1,V0,V2,5.0454,6.0,0.0,0.0
F0V1F1V1F3V2LPS11,P,V1,V1,V0,V2,5.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS12,P,V1,V1,V0,V2,0.0,0.0,0.0,0.0
F0V1F1V1F3V2LPS13,P,V1,V1,V0,V2,-0.1152,0.0,0.1192,0.0
